Tipo de placa;595(-);563(-);520(-);513(-);454(-);450(-);430(-);420(-);385(-);350(-);325(-);315(-);305(-);280(-);245(-);220(-);200(-);193(-)
;40;;;;;;;;;;;;;;;;;
;40;;;;;;;;;;;;;;;;;
